NCM,NCM_DESCRICAO,CAPITULO
2031200,"-- Pernas, pás e respectivos pedaços, não desossados",20
2031900,-- Outras,20
2032100,-- Carcaças e meias-carcaças,20
2032200,"-- Pernas, pás e respectivos pedaços, não desossados",20
2032900,-- Outras,20
2041000,"- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas",20
2042100,-- Carcaças e meias-carcaças,20
2042200,-- Outras peças não desossadas,20
2042300,-- Desossadas,20
2043000,"- Carcaças e meias-carcaças de cordeiro, congeladas",20
2044100,-- Carcaças e meias-carcaças,20
2044200,-- Outras peças não desossadas,20
2044300,-- Desossadas,20
2045000,- Carnes de animais da espécie caprina,20
2050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.",20
2061000,"- Da espécie bovina, frescas ou refrigeradas",20
2062100,-- Línguas,20
2062200,-- Fígados,20
2062910,Rabos,20
2062990,Outros,20
2063000,"- Da espécie suína, frescas ou refrigeradas",20
2064100,-- Fígados,20
2064900,-- Outras,20
2068000,"- Outras, frescas ou refrigeradas",20
2069000,"- Outras, congeladas",20
2071100,"-- Não cortadas em pedaços, frescas ou refrigeradas",20
2071210,Com miudezas,20
2071220,Sem miudezas,20
2071300,"-- Pedaços e miudezas, frescos ou refrigerados",20
2071411,Peitos,20
2071412,Coxas com sobrecoxas,20
2071413,Asas,20
2071419,Outros,20
2071421,"Peitos, coxas e sobrecoxas, formando uma só peça",20
2071422,Peitos,20
2071423,Coxas com sobrecoxas,20
2071424,Carne mecanicamente separada,20
2071429,Outros,20
2071431,Fígados,20
2071432,Moelas,20
2071433,Corações,20
2071434,Pés e patas,20
2071439,Outras,20
2072400,"-- Não cortadas em pedaços, frescas ou refrigeradas",20
2072500,"-- Não cortadas em pedaços, congeladas",20
2072600,"-- Pedaços e miudezas, frescos ou refrigerados",20
2072700,"-- Pedaços e miudezas, congelados",20
2074100,"-- Não cortadas em pedaços, frescas ou refrigeradas",20
2074200,"-- Não cortadas em pedaços, congeladas",20
2074300,"-- Fígados gordos (foies gras), frescos ou refrigerados",20
2074400,"-- Outras, frescas ou refrigeradas",20
2074500,"-- Outras, congeladas",20
2075100,"-- Não cortadas em pedaços, frescas ou refrigeradas",20
2075200,"-- Não cortadas em pedaços, congeladas",20
2075300,"-- Fígados gordos (foies gras), frescos ou refrigerados",20
2075400,"-- Outras, frescas ou refrigeradas",20
2075500,"-- Outras, congeladas",20
2076000,- De galinhas-d'angola (pintadas),20
2081000,- De coelhos ou lebres,20
2083000,- De primatas,20
2084000,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)",20
2085000,- De répteis (incluindo as serpentes e as tartarugas marinhas),20
2086000,- De camelos e outros camelídeos (Camelidae),20
2089000,- Outras,20
2091011,"Fresco, refrigerado ou congelado",20
2091019,Outros,20
2091021,"Fresca, refrigerada ou congelada",20
2091029,Outras,20
2099000,- Outros,20
2101100,"-- Pernas, pás e respectivos pedaços, não desossados",21
2101200,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços,21
2101900,-- Outras,21
2102000,- Carnes da espécie bovina,21
2109100,-- De primatas,21
2109100,Miudezas; farinhas e pós dessas miudezas,21
2109200,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",21
2109200,Miudezas; farinhas e pós dessas miudezas,21
2109300,-- De répteis (incluindo as serpentes e as tartarugas marinhas),21
2109300,Miudezas; farinhas e pós dessas miudezas,21
2109911,De galos e de galinhas,21
2109919,Outras,21
2109920,Carnes da espécie ovina,21
2109930,Carnes da espécie cavalar,21
2109940,Miudezas comestíveis,21
2109990,Outras,21
2109990,Farinhas e pós das miudezas do código 0210.99.40,21
3011110,Aruanã (Osteoglossum bicirrhosum),30
3011190,Outros,30
3011900,-- Outros,30
3019110,Para reprodução,30
3019190,Outras,30
3019210,Para reprodução,30
3019290,Outras,30
3019310,Para reprodução,30
3019390,Outras,30
3019410,Para reprodução,30
3019490,Outras,30
3019510,Para reprodução,30
3019590,Outros,30
3019911,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",30
3019912,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",30
3019919,Outros,30
3019991,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",30
3019992,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",30
3019999,Outros,30
3021100,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",30
3021300,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)",30
3021400,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho),30
3021900,-- Outros,30
3022100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",30
3022200,-- Solha (Pleuronectes platessa),30
3022300,-- Linguados (Solea spp.),30
3022400,-- Pregado (Psetta maxima),30
3022900,-- Outros,30
3023100,-- Albacora-branca (atum) (Thunnus alalunga),30
3023200,-- Albacora-laje (atum) (Thunnus albacares),30
3023300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis),30
3023400,-- Albacora-bandolim (atum) (Thunnus obesus),30
3023500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)",30
3023600,-- Atum-azul do sul (atum) (Thunnus maccoyii),30
3023900,-- Outros,30
3024100,"-- Arenques (Clupea harengus, Clupea pallasii)",30
3024210,Anchoita (Engraulis anchoita),30
3024290,Outros,30
3024300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)",30
3024400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)",30
3024500,-- Carapaus (Trachurus spp.),30
3024600,-- Bijupirá (Cobia*) (Rachycentron canadum),30
3024700,-- Espadarte (Xiphias gladius),30
3024910,"Espadins, marlins, veleiros (Istiophoridae)",30
3024990,Outros,30
3025100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3025200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),30
3025300,-- Saithe (Escamudo*) (Pollachius virens),30
3025400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",30
3025500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),30
3025600,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)",30
3025900,-- Outros,30
3027100,-- Tilápias (Oreochromis spp.),30
3027210,Bagre americano (Ictalurus punctatus),30
3027290,Outros,30
3027300,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",30
3027400,-- Enguias (Anguilla spp.),30
3027900,-- Outros,30
3028100,-- Cação e outros tubarões,30
3028200,-- Raias (Rajidae),30
3028310,Merluza negra (Dissostichus eleginoides),30
3028320,Merluza antártica (Dissostichus mawsoni),30
3028400,-- Robalos (Dicentrarchus spp.),30
3028500,-- Esparídeos (Sparidae),30
3028910,Pargo (Lutjanus purpureus),30
3028921,Cherne-poveiro (Polyprion americanus),30
3028922,Garoupas (Acanthistius spp.),30
3028923,Esturjão (Acipenser baerii),30
3028924,Peixes-rei (Atherina spp.),30
3028931,Curimatãs (Prochilodus spp.),30
3028932,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",30
3028933,Surubins (Pseudoplatystoma spp.),30
3028934,Traíra (Hoplias malabaricus & H. cf. lacerdae),30
3028935,Piaus (Leporinus spp.),30
3028936,Tainhas (Mugil spp.),30
3028937,Pirarucu (Arapaima gigas),30
3028938,Pescadas (Cynoscion spp.),30
3028941,Piramutaba (Brachyplatystoma vaillantii),30
3028942,Dourada (Brachyplatystoma flavicans),30
3028943,Pacu (Piaractus mesopotamicus),30
3028944,Tambaqui (Colossoma macropomum),30
3028945,Tambacu (híbrido de tambaqui e pacu),30
3028990,Outros,30
3029110,Ovas de tainhas (Mugil spp.),30
3029190,Outros,30
3029200,-- Barbatanas de tubarão,30
3029900,-- Outros,30
3031100,-- Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka),30
3031200,"-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)",30
3031300,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho),30
3031400,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",30
3031900,-- Outros,30
3032300,-- Tilápias (Oreochromis spp.),30
3032410,Bagre americano (Ictalurus punctatus),30
3032490,Outros,30
3032500,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",30
3032600,-- Enguias (Anguilla spp.),30
3032900,-- Outros,30
3033100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,
Hippoglossus stenolepis)",30
3033200,-- Solha (Pleuronectes platessa),30
3033300,-- Linguados (Solea spp.),30
3033400,-- Pregado (Psetta maxima),30
3033900,-- Outros,30
3034100,-- Albacora-branca (atum) (Thunnus alalunga),30
3034200,-- Albacora-laje (atum) (Thunnus albacares),30
3034300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis),30
3034400,-- Albacora-bandolim (atum) (Thunnus obesus),30
3034500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)",30
3034600,-- Atum-azul do sul (atum) (Thunnus maccoyii),30
3034900,-- Outros,30
3035100,"-- Arenques (Clupea harengus, Clupea pallasii)",30
3035300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)",30
3035400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)",30
3035500,-- Carapaus (Trachurus spp.),30
3035600,-- Bijupirá (Cobia*) (Rachycentron canadum),30
3035700,-- Espadarte (Xiphias gladius),30
3035910,"Espadins, marlins, veleiros (Istiophoridae)",30
3035920,Anchoita (Engraulis anchoita),30
3035990,Outros,30
3036300,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3036400,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),30
3036500,-- Saithe (Escamudo*) (Pollachius virens),30
3036600,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",30
3036700,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),30
3036800,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)",30
3036910,Merluza rosada (Macruronus magellanicus),30
3036990,Outros,30
3038111,Inteiro,30
3038112,"Eviscerado, sem cabeça e sem barbatanas",30
3038113,"Em pedaços, com pele",30
3038114,"Em pedaços, sem pele",30
3038119,Outros,30
3038190,Outros,30
3038200,-- Raias (Rajidae),30
3038311,"Evisceradas, sem cabeça e sem cauda",30
3038319,Outras,30
3038321,"Evisceradas, sem cabeça e sem cauda",30
3038329,Outras,30
3038400,-- Robalos (Dicentrarchus spp.),30
3038910,Corvina (Micropogonias furnieri),30
3038920,Pescadas (Cynoscion spp.),30
3038932,Pargo (Lutjanus purpureus),30
3038933,Peixe-sapo (Lophius gastrophysus),30
3038941,Cherne-poveiro (Polyprion americanus),30
3038942,Garoupas (Acanthistius spp.),30
3038943,Tainhas (Mugil spp.),30
3038944,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",30
3038945,Peixes-rei (Atherina spp.),30
3038946,Nototenias (Patagonotothen spp.),30
3038951,Curimatãs (Prochilodus spp.),30
3038952,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",30
3038953,Surubins (Pseudoplatystoma spp.),30
3038954,Traíra (Hoplias malabaricus & H. cf. lacerdae),30
3038955,Piaus (Leporinus spp.),30
3038956,Pirarucu (Arapaima gigas),30
3038961,Piramutaba (Brachyplatystoma vaillantii),30
3038962,Dourada (Brachyplatystoma flavicans),30
3038963,Pacu (Piaractus mesopotamicus),30
3038964,Tambaqui (Colossoma macropomum),30
3038965,Tambacu (híbrido de tambaqui e pacu),30
3038990,Outros,30
3039110,Ovas de tainhas (Mugil spp.),30
3039190,Outros,30
3039200,-- Barbatanas de tubarão,30
3039910,Cabeças de Merluza negra (Dissostichus eleginoides),30
3039920,Cabeças de Merluza antártica (Dissostichus mawsoni),30
3039990,Outros,30
3043100,-- Tilápias (Oreochromis spp.),30
3043210,Bagre americano (Ictalurus punctatus),30
3043290,Outros,30
3043300,-- Perca-do-nilo (Lates niloticus),30
3043900,-- Outros,30
3044100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",30
3044200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",30
3044300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)",30
3044400,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae",30
3044500,-- Espadarte (Xiphias gladius),30
3044600,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.),30
3044700,-- Cação e outros tubarões,30
3044800,-- Raias (Rajidae),30
3044910,Cherne-poveiro (Polyprion americanus),30
3044920,Garoupas (Acanthistius spp.),30
3044990,Outros,30
3045100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3045200,-- Salmonídeos,30
3045300,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae",30
3045400,-- Espadarte (Xiphias gladius),30
3045500,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.),30
3045600,-- Cação e outros tubarões,30
3045700,-- Raias (Rajidae),30
3045900,-- Outros,30
3046100,-- Tilápias (Oreochromis spp.),30
3046210,Bagre americano (Ictalurus punctatus),30
3046290,Outros,30
3046300,-- Perca-do-nilo (Lates niloticus),30
3046900,-- Outros,30
3047100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3047200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),30
3047300,-- Saithe (Escamudo*) (Pollachius virens),30
3047400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",30
3047500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),30
3047900,-- Outros,30
3048100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",30
3048200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",30
3048300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)",30
3048400,-- Espadarte (Xiphias gladius),30
3048510,Merluza negra (Dissostichus eleginoides),30
3048520,Merluza antártica (Dissostichus mawsoni),30
3048600,"-- Arenques (Clupea harengus, Clupea pallasii)",30
3048700,"-- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis)",30
3048810,Tubarão-azul (Prionace glauca),30
3048890,Outros,30
3048910,Pargo (Lutjanus purpureus),30
3048920,Cherne-poveiro (Polyprion americanus),30
3048930,Garoupas (Acanthistius spp.),30
3048990,Outros,30
3049100,-- Espadarte (Xiphias gladius),30
3049211,Bochechas (cheeks),30
3049212,Colares (collars),30
3049219,Outros,30
3049221,Bochechas (cheeks),30
3049222,Colares (collars),30
3049229,Outros,30
3049300,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3049400,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),30
3049500,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca (escamudo-do-alasca*) (Theragra chalcogramma)",30
3049600,-- Cação e outros tubarões,30
3049700,-- Raias (Rajidae),30
3049900,-- Outros,30
3052010,Ovas de tainhas (Mugil spp.),30
3052090,Outros,30
3053100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3053210,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3053220,Saithe (Pollachius virens),30
3053230,Ling (Molva molva) e zarbo (Brosme brosme),30
3053290,Outros,30
3053900,-- Outros,30
3054100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",30
3054200,"-- Arenques (Clupea harengus, Clupea pallasii)",30
3054300,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",30
3054400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3054910,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3054920,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",30
3054990,Outros,30
3055100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3055200,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3055310,"Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), ling azul (Molva dypterygia), zarbo (Brosme brosme), abrotea-do-alto (Urophycis blennoides) e hadoque (Melanogrammus aeglefinus)",30
3055390,Outros,30
3055400,"-- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae)",30
3055900,-- Outros,30
3056100,"-- Arenques (Clupea harengus, Clupea pallasii)",30
3056200,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",30
3056300,-- Anchovas (Biqueirões*) (Engraulis spp.),30
3056400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",30
3056910,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",30
3056990,Outros,30
3057100,-- Barbatanas de tubarão,30
3057100,"De tubarão seco, mesmo salgado mas não defumado",30
3057200,"-- Cabeças, caudas e bexigas-natatórias, de peixes",30
3057200,"De peixes defumados, mesmo em filés, exceto dos códigos 0305.41.00, 0305.42.00 e 0305.49.10",30
3057200,"De peixes salgados, não secos nem defumados e peixes em salmoura, exceto dos códigos
0305.61.00 e 0305.62.00",30
3057900,-- Outros,30
3057900,"De peixes defumados, mesmo em filés, exceto dos códigos 0305.41.00, 0305.42.00 e 0305.49.10",30
3057900,"De peixes salgados, não secos nem defumados e peixes em salmoura, exceto dos códigos
0305.61.00 e 0305.62.00",30
3061110,Inteiras,30
3061190,Outras,30
3061200,-- Lavagantes (Homarus spp.),30
3061400,-- Caranguejos,30
3061500,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),30
3061610,Inteiros,30
3061690,Outros,30
3061710,Inteiros,30
3061790,Outros,30
3061910,Krill (Euphausia superba),30
3061990,Outros,30
3063100,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",30
3063200,-- Lavagantes (Homarus spp.),30
3063300,-- Caranguejos,30
3063400,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),30
3063500,"-- Camarões de água fria (Pandalus spp., Crangon crangon)",30
3063600,-- Outros camarões,30
3063910,Lagosta de água doce (Cherax quadricarinatus),30
3063990,Outros,30
3069100,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",30
3069200,-- Lavagantes (Homarus spp.),30
3069300,-- Caranguejos,30
3069400,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),30
3069500,-- Camarões,30
3069910,Lagosta de água doce (Cherax quadricarinatus),30
3069990,Outros,30
3071100,"-- Vivas, frescas ou refrigeradas",30
3071200,-- Congeladas,30
3071900,-- Outras,30
3072100,"-- Vivos, frescos ou refrigerados",30
3072200,-- Congelados,30
3072900,-- Outros,30
3073100,"-- Vivos, frescos ou refrigerados",30
3073200,-- Congelados,30
3073900,-- Outros,30
