NCM,NCM_STR,NCM_DESCRICAO
2075400,02075400,"-- Outras, frescas ou refrigeradas"
2075500,02075500,"-- Outras, congeladas"
2076000,02076000,- De galinhas-d'angola (pintadas)
2081000,02081000,- De coelhos ou lebres
2083000,02083000,- De primatas
2084000,02084000,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
2085000,02085000,- De répteis (incluindo as serpentes e as tartarugas marinhas)
2086000,02086000,- De camelos e outros camelídeos (Camelidae)
2089000,02089000,- Outras
2091011,02091011,"Fresco, refrigerado ou congelado"
2091019,02091019,Outros
2091021,02091021,"Fresca, refrigerada ou congelada"
2091029,02091029,Outras
2099000,02099000,- Outros
2101100,02101100,"-- Pernas, pás e respectivos pedaços, não desossados"
2101200,02101200,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços
2101900,02101900,-- Outras
2102000,02102000,- Carnes da espécie bovina
2109100,02109100,-- De primatas
2109100,02109100,Miudezas; farinhas e pós dessas miudezas
2109200,02109200,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
2109200,02109200,Miudezas; farinhas e pós dessas miudezas
2109300,02109300,-- De répteis (incluindo as serpentes e as tartarugas marinhas)
2109300,02109300,Miudezas; farinhas e pós dessas miudezas
2109911,02109911,De galos e de galinhas
2109919,02109919,Outras
2109920,02109920,Carnes da espécie ovina
2109930,02109930,Carnes da espécie cavalar
2109940,02109940,Miudezas comestíveis
2109990,02109990,Outras
2109990,02109990,Farinhas e pós das miudezas do código 0210.99.40
3011110,03011110,Aruanã (Osteoglossum bicirrhosum)
3011190,03011190,Outros
3011900,03011900,-- Outros
3019110,03019110,Para reprodução
3019190,03019190,Outras
3019210,03019210,Para reprodução
3019290,03019290,Outras
3019310,03019310,Para reprodução
3019390,03019390,Outras
3019410,03019410,Para reprodução
3019490,03019490,Outras
3019510,03019510,Para reprodução
3019590,03019590,Outros
3019911,03019911,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3019912,03019912,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
3019919,03019919,Outros
3019991,03019991,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3019992,03019992,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
3019999,03019999,Outros
3021100,03021100,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
3021300,03021300,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
3021400,03021400,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
3021900,03021900,-- Outros
3022100,03022100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
3022200,03022200,-- Solha (Pleuronectes platessa)
3022300,03022300,-- Linguados (Solea spp.)
3022400,03022400,-- Pregado (Psetta maxima)
3022900,03022900,-- Outros
3023100,03023100,-- Albacora-branca (atum) (Thunnus alalunga)
3023200,03023200,-- Albacora-laje (atum) (Thunnus albacares)
3023300,03023300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
3023400,03023400,-- Albacora-bandolim (atum) (Thunnus obesus)
3023500,03023500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
3023600,03023600,-- Atum-azul do sul (atum) (Thunnus maccoyii)
3023900,03023900,-- Outros
3024100,03024100,"-- Arenques (Clupea harengus, Clupea pallasii)"
3024210,03024210,Anchoita (Engraulis anchoita)
3024290,03024290,Outros
3024300,03024300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
3024400,03024400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
3024500,03024500,-- Carapaus (Trachurus spp.)
3024600,03024600,-- Bijupirá (Cobia*) (Rachycentron canadum)
3024700,03024700,-- Espadarte (Xiphias gladius)
3024910,03024910,"Espadins, marlins, veleiros (Istiophoridae)"
3024990,03024990,Outros
3025100,03025100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3025200,03025200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
3025300,03025300,-- Saithe (Escamudo*) (Pollachius virens)
3025400,03025400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
3025500,03025500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
3025600,03025600,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)"
3025900,03025900,-- Outros
3027100,03027100,-- Tilápias (Oreochromis spp.)
3027210,03027210,Bagre americano (Ictalurus punctatus)
3027290,03027290,Outros
3027300,03027300,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
3027400,03027400,-- Enguias (Anguilla spp.)
3027900,03027900,-- Outros
3028100,03028100,-- Cação e outros tubarões
3028200,03028200,-- Raias (Rajidae)
3028310,03028310,Merluza negra (Dissostichus eleginoides)
3028320,03028320,Merluza antártica (Dissostichus mawsoni)
3028400,03028400,-- Robalos (Dicentrarchus spp.)
3028500,03028500,-- Esparídeos (Sparidae)
3028910,03028910,Pargo (Lutjanus purpureus)
3028921,03028921,Cherne-poveiro (Polyprion americanus)
3028922,03028922,Garoupas (Acanthistius spp.)
3028923,03028923,Esturjão (Acipenser baerii)
3028924,03028924,Peixes-rei (Atherina spp.)
3028931,03028931,Curimatãs (Prochilodus spp.)
3028932,03028932,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3028933,03028933,Surubins (Pseudoplatystoma spp.)
3028934,03028934,Traíra (Hoplias malabaricus & H. cf. lacerdae)
3028935,03028935,Piaus (Leporinus spp.)
3028936,03028936,Tainhas (Mugil spp.)
3028937,03028937,Pirarucu (Arapaima gigas)
3028938,03028938,Pescadas (Cynoscion spp.)
3028941,03028941,Piramutaba (Brachyplatystoma vaillantii)
3028942,03028942,Dourada (Brachyplatystoma flavicans)
3028943,03028943,Pacu (Piaractus mesopotamicus)
3028944,03028944,Tambaqui (Colossoma macropomum)
3028945,03028945,Tambacu (híbrido de tambaqui e pacu)
3028990,03028990,Outros
3029110,03029110,Ovas de tainhas (Mugil spp.)
3029190,03029190,Outros
3029200,03029200,-- Barbatanas de tubarão
3029900,03029900,-- Outros
3031100,03031100,-- Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka)
3031200,03031200,"-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
3031300,03031300,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
3031400,03031400,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
3031900,03031900,-- Outros
3032300,03032300,-- Tilápias (Oreochromis spp.)
3032410,03032410,Bagre americano (Ictalurus punctatus)
3032490,03032490,Outros
3032500,03032500,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
3032600,03032600,-- Enguias (Anguilla spp.)
3032900,03032900,-- Outros
3033100,03033100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,
Hippoglossus stenolepis)"
3033200,03033200,-- Solha (Pleuronectes platessa)
3033300,03033300,-- Linguados (Solea spp.)
3033400,03033400,-- Pregado (Psetta maxima)
3033900,03033900,-- Outros
3034100,03034100,-- Albacora-branca (atum) (Thunnus alalunga)
3034200,03034200,-- Albacora-laje (atum) (Thunnus albacares)
3034300,03034300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
3034400,03034400,-- Albacora-bandolim (atum) (Thunnus obesus)
3034500,03034500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
3034600,03034600,-- Atum-azul do sul (atum) (Thunnus maccoyii)
3034900,03034900,-- Outros
3035100,03035100,"-- Arenques (Clupea harengus, Clupea pallasii)"
3035300,03035300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
3035400,03035400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
3035500,03035500,-- Carapaus (Trachurus spp.)
3035600,03035600,-- Bijupirá (Cobia*) (Rachycentron canadum)
3035700,03035700,-- Espadarte (Xiphias gladius)
3035910,03035910,"Espadins, marlins, veleiros (Istiophoridae)"
3035920,03035920,Anchoita (Engraulis anchoita)
3035990,03035990,Outros
3036300,03036300,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3036400,03036400,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
3036500,03036500,-- Saithe (Escamudo*) (Pollachius virens)
3036600,03036600,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
3036700,03036700,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
3036800,03036800,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)"
3036910,03036910,Merluza rosada (Macruronus magellanicus)
3036990,03036990,Outros
3038111,03038111,Inteiro
3038112,03038112,"Eviscerado, sem cabeça e sem barbatanas"
3038113,03038113,"Em pedaços, com pele"
3038114,03038114,"Em pedaços, sem pele"
3038119,03038119,Outros
3038190,03038190,Outros
3038200,03038200,-- Raias (Rajidae)
3038311,03038311,"Evisceradas, sem cabeça e sem cauda"
3038319,03038319,Outras
3038321,03038321,"Evisceradas, sem cabeça e sem cauda"
3038329,03038329,Outras
3038400,03038400,-- Robalos (Dicentrarchus spp.)
3038910,03038910,Corvina (Micropogonias furnieri)
3038920,03038920,Pescadas (Cynoscion spp.)
3038932,03038932,Pargo (Lutjanus purpureus)
3038933,03038933,Peixe-sapo (Lophius gastrophysus)
3038941,03038941,Cherne-poveiro (Polyprion americanus)
3038942,03038942,Garoupas (Acanthistius spp.)
3038943,03038943,Tainhas (Mugil spp.)
3038944,03038944,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
3038945,03038945,Peixes-rei (Atherina spp.)
3038946,03038946,Nototenias (Patagonotothen spp.)
3038951,03038951,Curimatãs (Prochilodus spp.)
3038952,03038952,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
3038953,03038953,Surubins (Pseudoplatystoma spp.)
3038954,03038954,Traíra (Hoplias malabaricus & H. cf. lacerdae)
3038955,03038955,Piaus (Leporinus spp.)
3038956,03038956,Pirarucu (Arapaima gigas)
3038961,03038961,Piramutaba (Brachyplatystoma vaillantii)
3038962,03038962,Dourada (Brachyplatystoma flavicans)
3038963,03038963,Pacu (Piaractus mesopotamicus)
3038964,03038964,Tambaqui (Colossoma macropomum)
3038965,03038965,Tambacu (híbrido de tambaqui e pacu)
3038990,03038990,Outros
3039110,03039110,Ovas de tainhas (Mugil spp.)
3039190,03039190,Outros
3039200,03039200,-- Barbatanas de tubarão
3039910,03039910,Cabeças de Merluza negra (Dissostichus eleginoides)
3039920,03039920,Cabeças de Merluza antártica (Dissostichus mawsoni)
3039990,03039990,Outros
3043100,03043100,-- Tilápias (Oreochromis spp.)
3043210,03043210,Bagre americano (Ictalurus punctatus)
3043290,03043290,Outros
3043300,03043300,-- Perca-do-nilo (Lates niloticus)
3043900,03043900,-- Outros
3044100,03044100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
3044200,03044200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
3044300,03044300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)"
3044400,03044400,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae"
3044500,03044500,-- Espadarte (Xiphias gladius)
3044600,03044600,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
3044700,03044700,-- Cação e outros tubarões
3044800,03044800,-- Raias (Rajidae)
3044910,03044910,Cherne-poveiro (Polyprion americanus)
3044920,03044920,Garoupas (Acanthistius spp.)
3044990,03044990,Outros
3045100,03045100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3045200,03045200,-- Salmonídeos
3045300,03045300,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae"
3045400,03045400,-- Espadarte (Xiphias gladius)
3045500,03045500,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
3045600,03045600,-- Cação e outros tubarões
3045700,03045700,-- Raias (Rajidae)
3045900,03045900,-- Outros
3046100,03046100,-- Tilápias (Oreochromis spp.)
3046210,03046210,Bagre americano (Ictalurus punctatus)
3046290,03046290,Outros
3046300,03046300,-- Perca-do-nilo (Lates niloticus)
3046900,03046900,-- Outros
3047100,03047100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3047200,03047200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
3047300,03047300,-- Saithe (Escamudo*) (Pollachius virens)
3047400,03047400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
3047500,03047500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
3047900,03047900,-- Outros
3048100,03048100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
3048200,03048200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
3048300,03048300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)"
3048400,03048400,-- Espadarte (Xiphias gladius)
3048510,03048510,Merluza negra (Dissostichus eleginoides)
3048520,03048520,Merluza antártica (Dissostichus mawsoni)
3048600,03048600,"-- Arenques (Clupea harengus, Clupea pallasii)"
3048700,03048700,"-- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis)"
3048810,03048810,Tubarão-azul (Prionace glauca)
3048890,03048890,Outros
3048910,03048910,Pargo (Lutjanus purpureus)
3048920,03048920,Cherne-poveiro (Polyprion americanus)
3048930,03048930,Garoupas (Acanthistius spp.)
3048990,03048990,Outros
3049100,03049100,-- Espadarte (Xiphias gladius)
3049211,03049211,Bochechas (cheeks)
3049212,03049212,Colares (collars)
3049219,03049219,Outros
3049221,03049221,Bochechas (cheeks)
3049222,03049222,Colares (collars)
3049229,03049229,Outros
3049300,03049300,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3049400,03049400,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
3049500,03049500,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca (escamudo-do-alasca*) (Theragra chalcogramma)"
3049600,03049600,-- Cação e outros tubarões
3049700,03049700,-- Raias (Rajidae)
3049900,03049900,-- Outros
3052010,03052010,Ovas de tainhas (Mugil spp.)
3052090,03052090,Outros
3053100,03053100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3053210,03053210,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3053220,03053220,Saithe (Pollachius virens)
3053230,03053230,Ling (Molva molva) e zarbo (Brosme brosme)
3053290,03053290,Outros
3053900,03053900,-- Outros
3054100,03054100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)"
3054200,03054200,"-- Arenques (Clupea harengus, Clupea pallasii)"
3054300,03054300,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
3054400,03054400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3054910,03054910,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3054920,03054920,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)"
3054990,03054990,Outros
3055100,03055100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3055200,03055200,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3055310,03055310,"Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), ling azul (Molva dypterygia), zarbo (Brosme brosme), abrotea-do-alto (Urophycis blennoides) e hadoque (Melanogrammus aeglefinus)"
3055390,03055390,Outros
3055400,03055400,"-- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae)"
3055900,03055900,-- Outros
3056100,03056100,"-- Arenques (Clupea harengus, Clupea pallasii)"
3056200,03056200,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
3056300,03056300,-- Anchovas (Biqueirões*) (Engraulis spp.)
3056400,03056400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)"
3056910,03056910,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)"
3056990,03056990,Outros
