NCM,NCM_DESCRICAO,POSICAO
2063000,"- Da espécie suína, frescas ou refrigeradas",0206
2064100,-- Fígados,0206
2064900,-- Outras,0206
2068000,"- Outras, frescas ou refrigeradas",0206
2069000,"- Outras, congeladas",0206
2071100,"-- Não cortadas em pedaços, frescas ou refrigeradas",0207
2071210,Com miudezas,0207
2071220,Sem miudezas,0207
2071300,"-- Pedaços e miudezas, frescos ou refrigerados",0207
2071411,Peitos,0207
2071412,Coxas com sobrecoxas,0207
2071413,Asas,0207
2071419,Outros,0207
2071421,"Peitos, coxas e sobrecoxas, formando uma só peça",0207
2071422,Peitos,0207
2071423,Coxas com sobrecoxas,0207
2071424,Carne mecanicamente separada,0207
2071429,Outros,0207
2071431,Fígados,0207
2071432,Moelas,0207
2071433,Corações,0207
2071434,Pés e patas,0207
2071439,Outras,0207
2072400,"-- Não cortadas em pedaços, frescas ou refrigeradas",0207
2072500,"-- Não cortadas em pedaços, congeladas",0207
2072600,"-- Pedaços e miudezas, frescos ou refrigerados",0207
2072700,"-- Pedaços e miudezas, congelados",0207
2074100,"-- Não cortadas em pedaços, frescas ou refrigeradas",0207
2074200,"-- Não cortadas em pedaços, congeladas",0207
2074300,"-- Fígados gordos (foies gras), frescos ou refrigerados",0207
2074400,"-- Outras, frescas ou refrigeradas",0207
2074500,"-- Outras, congeladas",0207
2075100,"-- Não cortadas em pedaços, frescas ou refrigeradas",0207
2075200,"-- Não cortadas em pedaços, congeladas",0207
2075300,"-- Fígados gordos (foies gras), frescos ou refrigerados",0207
2075400,"-- Outras, frescas ou refrigeradas",0207
2075500,"-- Outras, congeladas",0207
2076000,- De galinhas-d'angola (pintadas),0207
2081000,- De coelhos ou lebres,0208
2083000,- De primatas,0208
2084000,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)",0208
2085000,- De répteis (incluindo as serpentes e as tartarugas marinhas),0208
2086000,- De camelos e outros camelídeos (Camelidae),0208
2089000,- Outras,0208
2091011,"Fresco, refrigerado ou congelado",0209
2091019,Outros,0209
2091021,"Fresca, refrigerada ou congelada",0209
2091029,Outras,0209
2099000,- Outros,0209
2101100,"-- Pernas, pás e respectivos pedaços, não desossados",0210
2101200,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços,0210
2101900,-- Outras,0210
2102000,- Carnes da espécie bovina,0210
2109100,-- De primatas,0210
2109100,Miudezas; farinhas e pós dessas miudezas,0210
2109200,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",0210
2109200,Miudezas; farinhas e pós dessas miudezas,0210
2109300,-- De répteis (incluindo as serpentes e as tartarugas marinhas),0210
2109300,Miudezas; farinhas e pós dessas miudezas,0210
2109911,De galos e de galinhas,0210
2109919,Outras,0210
2109920,Carnes da espécie ovina,0210
2109930,Carnes da espécie cavalar,0210
2109940,Miudezas comestíveis,0210
2109990,Outras,0210
2109990,Farinhas e pós das miudezas do código 0210.99.40,0210
3011110,Aruanã (Osteoglossum bicirrhosum),0301
3011190,Outros,0301
3011900,-- Outros,0301
3019110,Para reprodução,0301
3019190,Outras,0301
3019210,Para reprodução,0301
3019290,Outras,0301
3019310,Para reprodução,0301
3019390,Outras,0301
3019410,Para reprodução,0301
3019490,Outras,0301
3019510,Para reprodução,0301
3019590,Outros,0301
3019911,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",0301
3019912,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",0301
3019919,Outros,0301
3019991,"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",0301
3019992,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",0301
3019999,Outros,0301
3021100,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0302
3021300,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)",0302
3021400,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho),0302
3021900,-- Outros,0302
3022100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0302
3022200,-- Solha (Pleuronectes platessa),0302
3022300,-- Linguados (Solea spp.),0302
3022400,-- Pregado (Psetta maxima),0302
3022900,-- Outros,0302
3023100,-- Albacora-branca (atum) (Thunnus alalunga),0302
3023200,-- Albacora-laje (atum) (Thunnus albacares),0302
3023300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis),0302
3023400,-- Albacora-bandolim (atum) (Thunnus obesus),0302
3023500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)",0302
3023600,-- Atum-azul do sul (atum) (Thunnus maccoyii),0302
3023900,-- Outros,0302
3024100,"-- Arenques (Clupea harengus, Clupea pallasii)",0302
3024210,Anchoita (Engraulis anchoita),0302
3024290,Outros,0302
3024300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)",0302
3024400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0302
3024500,-- Carapaus (Trachurus spp.),0302
3024600,-- Bijupirá (Cobia*) (Rachycentron canadum),0302
3024700,-- Espadarte (Xiphias gladius),0302
3024910,"Espadins, marlins, veleiros (Istiophoridae)",0302
3024990,Outros,0302
3025100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0302
3025200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),0302
3025300,-- Saithe (Escamudo*) (Pollachius virens),0302
3025400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",0302
3025500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0302
3025600,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)",0302
3025900,-- Outros,0302
3027100,-- Tilápias (Oreochromis spp.),0302
3027210,Bagre americano (Ictalurus punctatus),0302
3027290,Outros,0302
3027300,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",0302
3027400,-- Enguias (Anguilla spp.),0302
3027900,-- Outros,0302
3028100,-- Cação e outros tubarões,0302
3028200,-- Raias (Rajidae),0302
3028310,Merluza negra (Dissostichus eleginoides),0302
3028320,Merluza antártica (Dissostichus mawsoni),0302
3028400,-- Robalos (Dicentrarchus spp.),0302
3028500,-- Esparídeos (Sparidae),0302
3028910,Pargo (Lutjanus purpureus),0302
3028921,Cherne-poveiro (Polyprion americanus),0302
3028922,Garoupas (Acanthistius spp.),0302
3028923,Esturjão (Acipenser baerii),0302
3028924,Peixes-rei (Atherina spp.),0302
3028931,Curimatãs (Prochilodus spp.),0302
3028932,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",0302
3028933,Surubins (Pseudoplatystoma spp.),0302
3028934,Traíra (Hoplias malabaricus & H. cf. lacerdae),0302
3028935,Piaus (Leporinus spp.),0302
3028936,Tainhas (Mugil spp.),0302
3028937,Pirarucu (Arapaima gigas),0302
3028938,Pescadas (Cynoscion spp.),0302
3028941,Piramutaba (Brachyplatystoma vaillantii),0302
3028942,Dourada (Brachyplatystoma flavicans),0302
3028943,Pacu (Piaractus mesopotamicus),0302
3028944,Tambaqui (Colossoma macropomum),0302
3028945,Tambacu (híbrido de tambaqui e pacu),0302
3028990,Outros,0302
3029110,Ovas de tainhas (Mugil spp.),0302
3029190,Outros,0302
3029200,-- Barbatanas de tubarão,0302
3029900,-- Outros,0302
3031100,-- Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka),0303
3031200,"-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)",0303
3031300,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho),0303
3031400,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0303
3031900,-- Outros,0303
3032300,-- Tilápias (Oreochromis spp.),0303
3032410,Bagre americano (Ictalurus punctatus),0303
3032490,Outros,0303
3032500,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",0303
3032600,-- Enguias (Anguilla spp.),0303
3032900,-- Outros,0303
3033100,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus,
Hippoglossus stenolepis)",0303
3033200,-- Solha (Pleuronectes platessa),0303
3033300,-- Linguados (Solea spp.),0303
3033400,-- Pregado (Psetta maxima),0303
3033900,-- Outros,0303
3034100,-- Albacora-branca (atum) (Thunnus alalunga),0303
3034200,-- Albacora-laje (atum) (Thunnus albacares),0303
3034300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis),0303
3034400,-- Albacora-bandolim (atum) (Thunnus obesus),0303
3034500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)",0303
3034600,-- Atum-azul do sul (atum) (Thunnus maccoyii),0303
3034900,-- Outros,0303
3035100,"-- Arenques (Clupea harengus, Clupea pallasii)",0303
3035300,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)",0303
3035400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0303
3035500,-- Carapaus (Trachurus spp.),0303
3035600,-- Bijupirá (Cobia*) (Rachycentron canadum),0303
3035700,-- Espadarte (Xiphias gladius),0303
3035910,"Espadins, marlins, veleiros (Istiophoridae)",0303
3035920,Anchoita (Engraulis anchoita),0303
3035990,Outros,0303
3036300,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0303
3036400,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),0303
3036500,-- Saithe (Escamudo*) (Pollachius virens),0303
3036600,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",0303
3036700,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0303
3036800,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)",0303
3036910,Merluza rosada (Macruronus magellanicus),0303
3036990,Outros,0303
3038111,Inteiro,0303
3038112,"Eviscerado, sem cabeça e sem barbatanas",0303
3038113,"Em pedaços, com pele",0303
3038114,"Em pedaços, sem pele",0303
3038119,Outros,0303
3038190,Outros,0303
3038200,-- Raias (Rajidae),0303
3038311,"Evisceradas, sem cabeça e sem cauda",0303
3038319,Outras,0303
3038321,"Evisceradas, sem cabeça e sem cauda",0303
3038329,Outras,0303
3038400,-- Robalos (Dicentrarchus spp.),0303
3038910,Corvina (Micropogonias furnieri),0303
3038920,Pescadas (Cynoscion spp.),0303
3038932,Pargo (Lutjanus purpureus),0303
3038933,Peixe-sapo (Lophius gastrophysus),0303
3038941,Cherne-poveiro (Polyprion americanus),0303
3038942,Garoupas (Acanthistius spp.),0303
3038943,Tainhas (Mugil spp.),0303
3038944,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)",0303
3038945,Peixes-rei (Atherina spp.),0303
3038946,Nototenias (Patagonotothen spp.),0303
3038951,Curimatãs (Prochilodus spp.),0303
3038952,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)",0303
3038953,Surubins (Pseudoplatystoma spp.),0303
3038954,Traíra (Hoplias malabaricus & H. cf. lacerdae),0303
3038955,Piaus (Leporinus spp.),0303
3038956,Pirarucu (Arapaima gigas),0303
3038961,Piramutaba (Brachyplatystoma vaillantii),0303
3038962,Dourada (Brachyplatystoma flavicans),0303
3038963,Pacu (Piaractus mesopotamicus),0303
3038964,Tambaqui (Colossoma macropomum),0303
3038965,Tambacu (híbrido de tambaqui e pacu),0303
3038990,Outros,0303
3039110,Ovas de tainhas (Mugil spp.),0303
3039190,Outros,0303
3039200,-- Barbatanas de tubarão,0303
3039910,Cabeças de Merluza negra (Dissostichus eleginoides),0303
3039920,Cabeças de Merluza antártica (Dissostichus mawsoni),0303
3039990,Outros,0303
3043100,-- Tilápias (Oreochromis spp.),0304
3043210,Bagre americano (Ictalurus punctatus),0304
3043290,Outros,0304
3043300,-- Perca-do-nilo (Lates niloticus),0304
3043900,-- Outros,0304
3044100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",0304
3044200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0304
3044300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)",0304
3044400,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae,
Merlucciidae, Moridae e Muraenolepididae",0304
3044500,-- Espadarte (Xiphias gladius),0304
3044600,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.),0304
3044700,-- Cação e outros tubarões,0304
3044800,-- Raias (Rajidae),0304
3044910,Cherne-poveiro (Polyprion americanus),0304
3044920,Garoupas (Acanthistius spp.),0304
3044990,Outros,0304
3045100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0304
3045200,-- Salmonídeos,0304
3045300,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae",0304
3045400,-- Espadarte (Xiphias gladius),0304
3045500,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.),0304
3045600,-- Cação e outros tubarões,0304
3045700,-- Raias (Rajidae),0304
3045900,-- Outros,0304
3046100,-- Tilápias (Oreochromis spp.),0304
3046210,Bagre americano (Ictalurus punctatus),0304
3046290,Outros,0304
3046300,-- Perca-do-nilo (Lates niloticus),0304
3046900,-- Outros,0304
3047100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0304
3047200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus),0304
3047300,-- Saithe (Escamudo*) (Pollachius virens),0304
3047400,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)",0304
3047500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0304
3047900,-- Outros,0304
3048100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",0304
3048200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0304
3048300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae)",0304
3048400,-- Espadarte (Xiphias gladius),0304
3048510,Merluza negra (Dissostichus eleginoides),0304
3048520,Merluza antártica (Dissostichus mawsoni),0304
3048600,"-- Arenques (Clupea harengus, Clupea pallasii)",0304
3048700,"-- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis)",0304
3048810,Tubarão-azul (Prionace glauca),0304
3048890,Outros,0304
3048910,Pargo (Lutjanus purpureus),0304
3048920,Cherne-poveiro (Polyprion americanus),0304
3048930,Garoupas (Acanthistius spp.),0304
3048990,Outros,0304
3049100,-- Espadarte (Xiphias gladius),0304
3049211,Bochechas (cheeks),0304
3049212,Colares (collars),0304
3049219,Outros,0304
3049221,Bochechas (cheeks),0304
3049222,Colares (collars),0304
3049229,Outros,0304
3049300,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0304
3049400,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma),0304
3049500,"-- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto a polaca-do-alasca (escamudo-do-alasca*) (Theragra chalcogramma)",0304
3049600,-- Cação e outros tubarões,0304
3049700,-- Raias (Rajidae),0304
3049900,-- Outros,0304
3052010,Ovas de tainhas (Mugil spp.),0305
3052090,Outros,0305
3053100,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0305
3053210,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0305
3053220,Saithe (Pollachius virens),0305
3053230,Ling (Molva molva) e zarbo (Brosme brosme),0305
3053290,Outros,0305
3053900,-- Outros,0305
3054100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)",0305
3054200,"-- Arenques (Clupea harengus, Clupea pallasii)",0305
3054300,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)",0305
3054400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0305
3054910,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0305
3054920,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",0305
3054990,Outros,0305
3055100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0305
3055200,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0305
3055310,"Bacalhau polar (Boreogadus saida), saithe (Pollachius virens), ling (Molva molva), ling azul (Molva dypterygia), zarbo (Brosme brosme), abrotea-do-alto (Urophycis blennoides) e hadoque (Melanogrammus aeglefinus)",0305
3055390,Outros,0305
3055400,"-- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae)",0305
3055900,-- Outros,0305
3056100,"-- Arenques (Clupea harengus, Clupea pallasii)",0305
3056200,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)",0305
3056300,-- Anchovas (Biqueirões*) (Engraulis spp.),0305
3056400,"-- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça de-serpente (Channa spp.)",0305
3056910,"Saithe (Pollachius virens), ling (Molva molva) e zarbo (Brosme brosme)",0305
3056990,Outros,0305
3057100,-- Barbatanas de tubarão,0305
3057100,"De tubarão seco, mesmo salgado mas não defumado",0305
3057200,"-- Cabeças, caudas e bexigas-natatórias, de peixes",0305
3057200,"De peixes defumados, mesmo em filés, exceto dos códigos 0305.41.00, 0305.42.00 e 0305.49.10",0305
3057200,"De peixes salgados, não secos nem defumados e peixes em salmoura, exceto dos códigos
0305.61.00 e 0305.62.00",0305
3057900,-- Outros,0305
3057900,"De peixes defumados, mesmo em filés, exceto dos códigos 0305.41.00, 0305.42.00 e 0305.49.10",0305
3057900,"De peixes salgados, não secos nem defumados e peixes em salmoura, exceto dos códigos
0305.61.00 e 0305.62.00",0305
3061110,Inteiras,0306
3061190,Outras,0306
3061200,-- Lavagantes (Homarus spp.),0306
3061400,-- Caranguejos,0306
3061500,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),0306
3061610,Inteiros,0306
3061690,Outros,0306
3061710,Inteiros,0306
3061790,Outros,0306
3061910,Krill (Euphausia superba),0306
3061990,Outros,0306
3063100,"-- Lagostas (Palinurus spp., Panulirus spp., Jasus spp.)",0306
3063200,-- Lavagantes (Homarus spp.),0306
3063300,-- Caranguejos,0306
3063400,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus),0306
